State,Room Size,04/30/20,05/31/20,06/30/20,07/31/20,08/31/20,09/30/20,10/31/20,11/30/20,12/31/20,01/31/21,02/28/21,03/31/21,04/30/21,05/31/21,06/30/21,07/31/21,08/31/21,09/30/21,10/31/21,11/30/21,12/31/21,01/31/22,02/28/22,03/31/22,04/30/22,05/31/22,06/30/22,07/31/22,08/31/22,09/30/22,10/31/22,11/30/22,12/31/22,01/31/23,02/28/23,03/31/23,04/30/23,05/31/23,06/30/23,07/31/23,08/31/23,09/30/23,10/31/23,11/30/23,12/31/23,01/31/24,02/29/24,03/31/24,04/30/24,05/31/24,06/30/24,07/31/24,08/31/24,09/30/24,10/31/24,11/30/24,12/31/24,01/31/25,02/28/25
Indiana,2bedroom,98608.0330659563,99192.03571208322,99746.3018814223,100319.1341376616,100880.04182872575,101431.18823051026,101936.1926983754,102467.89278081428,102991.96639390089,103586.25026173968,104125.08963197103,104638.9875629162,105175.57184316896,105733.31939022597,106247.56565127401,106750.80914978431,107264.30472019792,107807.8040057485,108364.80886400455,108886.05788759033,109354.05264829459,109829.0415028837,110324.03740670704,110791.03302475062,111376.3123736666,111947.3155967038,112481.76711143041,113020.14458608237,113557.57759079032,114104.93775283998,114635.68865090223,115162.21420570344,115658.52206073434,116193.74058870914,116710.87218446056,117201.54784503186,117762.24202478456,118326.55272134436,118850.80300639183,119371.44203707947,119896.78950853698,120442.20039103014,120986.20639007674,121510.06792948405,121992.08106776713,122496.89083466023,123002.84656095428,123481.56664024555,124054.67338166785,124622.36300139366,125151.76368388835,125681.35850121986,126212.80771742376,126759.20275229534,127296.51651516849,127821.72306282634,128310.95331855136,128831.11586254825,129342.71406247873
Arizona,2bedroom,228219.5099696037,229097.92168204396,230209.78537972775,231459.58646644902,232915.58344777886,234187.30178713595,235592.9861042086,237061.01107048252,238876.82685999913,240599.2770340406,242299.92612136077,244240.93961668803,245132.23247125195,246010.08922849357,247121.64234742112,248371.3919434539,249827.5319544741,251099.05822538986,252504.80874477635,253973.00452936618,255789.42594745746,257512.2063157555,259213.2370880208,261154.96491448738,262046.37833079573,262924.2509534729,264035.8129514366,265285.56401952,266741.6999415104,268013.23170340905,269418.9803301589,270887.17123127886,272703.57533524977,274426.34626373043,276127.36612412776,278069.0735288112,278960.48349841865,279838.35566752404,280949.9174116478,282199.6684376473,283655.8044765377,284927.33608145633,286333.08476231416,287801.27580304607,289617.68040200474,291340.45160035737,293041.4717727105,294983.1797612259,295874.58982937,296752.46201144235,297864.023762823,299113.77479002567,300569.9108255741,301841.44243498053,303247.1911142915,304715.3821510321,306531.78673583973,308254.55792647705,309955.5780899118
Tennessee,2bedroom,142634.78617543844,143388.88842219574,144095.32943907744,144773.56380121803,145548.76829473267,146425.7476619065,147350.9367624214,148297.62694354952,149198.80156843815,150138.4048958087,151095.97619332676,152165.8296023172,153032.53542715535,153785.31227924323,154486.709911214,155157.69763496725,155930.25133914305,156808.67659141083,157736.46484251122,158688.18119563247,159591.30088023076,160532.0058343395,161490.42056482902,162565.54112666158,163435.6686415943,164188.61938282504,164890.67869685896,165562.6171651466,166335.51864760814,167213.75420262915,168141.20145034543,169092.25837970414,169995.1228763395,170935.68329921266,171893.9873729749,172968.41689483708,173838.0954908391,174591.02341816042,175292.9959208245,175964.80965332137,176737.66550796395,177615.92595088622,178543.41793756787,179494.5613820118,180397.45935880006,181338.03874388366,182296.35733558828,183370.87752051928,184240.6150137916,184993.5459342524,185695.52982639545,186367.35992397982,187140.22176490148,188018.47894258058,188945.96505959902,189897.09715343596,190799.99073769478,191740.5676349741,192698.88432195358
Missouri,2bedroom,106320.73006861845,106781.63769456914,107248.96825894393,107709.30482811683,108112.71545646658,108500.060032037,108882.643098411,109270.1981423938,109674.81123275841,110067.67082032411,110475.49237750174,110841.2779058906,111228.81308243198,111669.95431653132,112127.18205840432,112576.66279967155,112959.93053346804,113335.41527392765,113707.58176554827,114088.23425999565,114478.66574858755,114857.78298753279,115256.63123031441,115617.96147673044,116007.04847621411,116453.14119937569,116912.89970232492,117365.09983282318,117753.41336975926,118131.8690036562,118506.64485141754,118889.0264372835,119283.01042278988,119665.57012555933,120066.66618718507,120429.11248351673,120817.81075073288,121262.66312390454,121721.78767019227,122173.30659260081,122560.3561538329,122938.06757773588,123312.18978074063,123694.13822851487,124087.23231212374,124468.92967632879,124869.46265843531,125231.62938381683,125620.42502862144,126065.5881099615,126524.87146264644,126976.56102795382,127363.92721560514,127741.82506440919,128116.11100568682,128498.16795472622,128891.48495911623,129273.39833947647,129674.07237322768
Maryland,2bedroom,212176.72997472805,212277.16330983775,212576.65496323394,212910.54451582054,213328.3663787648,213689.75808879558,214114.3701273071,214470.0560446206,214918.47007067248,215346.9797252014,215783.76746015143,216508.95797552637,216565.40313480137,216665.64625797424,216965.0387548923,217298.80031137148,217716.58296538156,218077.89172097313,218502.5147768711,218858.17703920783,219306.5985181976,219735.00934028917,220171.7212496971,220897.05920362612,220953.51723703305,221053.75693617557,221353.1476481647,221686.90690056898,222104.68884877383,222465.99611109155,222890.61936531498,223246.28120183529,223694.7028149864,224123.11185798215,224559.82240244444,225285.16301043442,225341.6212755903,225441.86091309646,225741.25159295485,226075.01080388317,226492.7927393827,226854.09997481984,227278.72323261335,227634.3850614685,228082.80667703468,228511.21568800465,228947.92620789638,229673.26686366243,229729.72513299005,229829.96476938666,230129.35544866667,230463.11465884838,230880.89659411926,231242.20382907244,231666.82708693022,232022.48891564738,232470.91053125702,232899.31954165053,233336.03006109994
Wisconsin,2bedroom,150444.87444308304,151170.94839038278,151875.18863140544,152588.19361874694,153314.3755619142,154003.5838166285,154721.4608587365,155409.76008503442,156074.41253556404,156662.31090187762,157257.92569133756,157767.51846917212,158495.07511174213,159217.9964729739,159920.86218647094,160632.6313600738,161359.2420549463,162047.4162614303,162765.41940698103,163452.8989609013,164117.70273556217,164705.50021912158,165300.48449136794,165807.315603807,166533.67268035523,167256.9480637275,167959.9681308778,168671.87608115977,169398.43862902117,170086.72895476728,170804.71793943242,171492.2895391092,172157.0763207073,172744.8851329752,173339.94020964968,173847.0814454838,174573.57322824516,175296.80885642176,175999.81159030678,176711.70395655202,177438.27191112004,178126.54919716192,178844.53977203488,179532.10103536077,180196.88972520828,180784.69726530992,181379.74439094527,181886.85080122796,182613.3274570488,183336.56754956645,184039.57222990418,184751.4663461711,185478.03369358872,186166.31244393453,186884.3028402338,187571.86526428844,188236.6537398476,188824.46142280815,189419.50944131167
Minnesota,2bedroom,208327.60117920095,209023.8059718919,209976.42070788943,210938.505365335,211813.93012421462,212757.07110064905,213679.33422086752,214612.04477073098,215511.38688070368,216363.13308732925,217324.89629702887,218369.44154907842,219041.8453416505,219737.4296128112,220690.53237463857,221653.08297529732,222528.1588288325,223471.2931804819,224393.30897539292,225326.17410357355,226225.54712920968,227077.07030140623,228039.17358340358,229084.63305578605,229757.28108470322,230452.89451550148,231405.97434394842,232368.50304893617,233243.5952982818,234186.72996124407,235108.75737850176,236041.61524271572,236940.9868155585,237792.52046862125,238754.60776989194,239800.02428110014,240472.66083282762,241168.27289335197,242121.35379948764,243083.88353339993,243958.9750122713,244902.10966060427,245824.13653170297,246756.99473726627,247656.36637837894,248507.8995389233,249469.9875911626,250515.4061212085,251188.04321227374,251883.6553371902,252836.73619268296,253799.2658782439,254674.3573933215,255617.49204234194,256539.51893910582,257472.37712862837,258371.7487665329,259223.28195022175,260185.36996717143
Colorado,2bedroom,326254.5467873432,326423.31851582375,326922.18641221424,327570.8894240644,328378.262351357,329187.139678598,329881.75605854753,330555.1550700534,331515.75490179897,332822.7206486427,333960.93822740443,335211.97342699126,335937.7851021911,336106.3762259399,336605.10615513264,337253.6987176261,338060.990149774,338869.7902909827,339564.3230590305,340237.6403485962,341198.2262702243,342505.235788579,343643.46886502596,344894.5385375125,345620.3566043196,345788.9492983792,346287.6804271605,346936.2739499822,347743.566090709,348552.36690303,349246.9003980613,349920.21839817794,350880.80444075086,352187.81357852375,353326.0465202224,354577.1158929762,355302.93390420993,355471.5265846161,355970.2577029673,356618.85121743917,357426.14335200505,358234.9441584909,358929.47764720133,359602.79564113985,360563.3816826612,361870.39082374313,363008.62376661337,364259.6931419732,364985.51115369017,365154.10383421497,365652.8349526569,366301.4284672013,367108.7206018208,367917.52140835737,368612.0548971227,369285.37289111497,370245.95893264544,371552.96807369863,372691.2010165587
Alabama,2bedroom,87637.87869838085,87977.76719292122,88403.91843461563,88807.6405834578,89190.39770442114,89594.07920453727,90063.84575289939,90602.46105956708,91136.33343678387,91731.3343492752,92353.71995509883,93083.88153668334,93556.51783255534,93884.8377203476,94305.16181197627,94694.65885918749,95062.97664506153,95455.13238512122,95921.4283514589,96462.40022616788,97006.85573622459,97616.55306395517,98251.27851697677,99001.27811679969,99485.34928197174,99816.06380685688,100237.59408605828,100630.03564999111,101001.34229771813,101395.88380584445,101862.89816331,102403.38224157413,102945.64710214216,103552.30235386215,104184.473527318,104930.36676797792,105412.07097896314,105742.289827322,106163.57043242129,106555.40249781072,106926.0904677994,107320.13813523842,107787.00378974609,108327.58883915447,108870.30715195209,109477.59209644434,110110.2919915282,110857.03522563873,111339.229382943,111669.55083357902,112090.88311982532,112482.8413480148,112853.6573808457,113247.80727055346,113714.70370574426,114255.26785468879,114797.89230540323,115405.04690700264,116037.63735965756
South Carolina,2bedroom,128438.47579569455,128845.71182351206,129386.8999454631,129958.63155100019,130512.04605792156,131067.01903432215,131608.23338158624,132147.6516349809,132660.98292120345,133170.412414018,133634.3508738726,134147.64174717528,134677.28000689443,135056.41103520725,135588.4290955915,136152.4281086723,136696.1768750233,137241.13713555096,137770.05864352552,138299.36504524655,138799.70954157453,139297.6888494057,139742.494099721,140260.84089886045,140798.23533522946,141183.6236183911,141717.6832875003,142283.40387334372,142829.304605648,143376.49408218884,143908.15244942709,144439.71013860698,144942.94599431838,145443.47455412496,145892.53959345547,146409.76074886555,146945.4283617225,147329.42353906913,147863.02866748028,148428.3659649513,148973.7875867901,149520.48075402822,150051.52979103342,150582.58625695706,151085.17838476095,151585.13938293917,152033.25602924565,152550.72779628384,153086.7798665322,153471.08520286364,154004.79152953264,154570.2141617508,155115.74245202355,155662.54611681885,156193.73081419134,156724.8988717074,157227.6343181251,157727.72167737124,158176.0494724752
Louisiana,2bedroom,111161.97156782092,111248.53054801191,111339.8416262408,111465.42683755948,111631.33626923511,111776.03711907592,111917.53894016343,112053.7737531259,112165.83571533434,112251.29336006117,112329.41132044316,112427.13359830677,112525.97955378782,112660.25375565703,112767.95679779578,112917.07502660883,113042.73488353546,113147.67304864444,113203.96911673514,113315.53483549663,113469.46933917777,113665.12642444715,113838.67482818558,113963.5006503358,114058.77146457655,114173.82308305807,114274.92244859085,114414.56015158344,114556.43497680989,114677.39196140863,114768.01407126307,114889.51799640185,115026.58370241625,115177.84577367122,115312.94901063427,115426.85588235676,115523.56698018411,115646.36262036565,115750.12234709469,115893.57938051755,116028.92183369775,116143.4254668798,116220.21896655564,116337.71917979511,116481.58065995442,116650.72773370701,116801.31901407006,116919.62470083985,117015.75556514063,117135.4314440039,117238.11941599436,117380.03779162419,117518.01188020212,117635.11531448271,117717.47981651261,117836.5929675765,117977.71669800753,118139.65860871553,118284.01036644203
Kentucky,2bedroom,95295.31024046095,95679.65082313344,96085.1715111167,96488.89962626589,96892.59060558541,97283.9234943518,97671.77495103302,98034.4953722761,98400.24311537437,98755.1022659617,99116.08051794424,99471.76725712692,99873.20792171326,100264.04548397631,100681.88336243335,101097.1165456075,101516.37320519608,101925.97884906092,102330.07275471855,102716.07401949451,103098.4702727936,103457.79609684944,103799.28341006029,104141.84083632038,104538.45075842094,104926.89805247654,105340.20438079027,105751.20479734705,106164.7347726886,106567.61778721995,106965.73602235893,107343.17215939148,107719.44335040895,108077.12586507217,108425.7839829054,108773.17174283473,109171.55891696776,109560.8856015192,109975.85910764795,110388.41677820777,110804.05362661227,111209.40992691317,111609.72663829174,111990.31392460105,112368.83855376412,112727.12564939322,113073.14559573893,113418.75625404123,113816.48956910473,114205.49272191117,114619.85286577337,115031.83761553477,115446.69933580021,115851.14570306831,116250.6535850844,116630.08154930746,117007.77712837397,117365.84179592837,117712.83233750907
Oregon,2bedroom,299703.74231304583,300152.17123000324,300866.00205493206,301597.02903159347,302554.1194367848,303515.0694480985,304855.5828717797,305944.43093956483,307018.03670226847,307954.61748679134,309049.29054568714,310520.5039402761,310998.97168192687,311447.3626891983,312161.16369228455,312892.1619787358,313849.2413671528,314810.18532090465,316150.7190141195,317239.57197455066,318313.18123200146,319249.75382883096,320344.43653988565,321815.68578059564,322294.15770736634,322742.5484959304,323456.3493269694,324187.347447902,325144.42677276133,326105.3706915661,327445.9045017193,328534.75749037694,329608.3667679896,330544.9393175828,331639.62208432244,333110.8715318347,333589.34348275006,334037.73427005234,334751.5351000988,335482.5332200765,336439.6125445692,337400.55646317237,338741.09027400013,339829.9432628207,340903.5525405496,341840.1250898704,342934.80785693123,344406.0573056367,344884.52925669134,345332.92004398635,346046.7208740271,346777.7189939993,347734.79831848986,348695.7422370918,350036.27604792354,351125.12903674494,352198.7383144746,353135.3108637937,354229.99363085645
Oklahoma,2bedroom,64275.172658788986,64461.135809922125,64655.01381742887,64859.04684129531,65080.935009991736,65324.69485000566,65571.88417493479,65818.34160312159,66070.90957790897,66350.71642797942,66688.60588137885,67021.99215212936,67324.55941624747,67511.06009516696,67779.65446497667,68078.02361534793,68403.65464681033,68701.97355713902,68960.9884933679,69244.535338813,69532.58014749963,69895.43504056153,70234.93707732,70613.74444601728,70923.88350359265,71110.10551497407,71339.96509698899,71589.42809442511,71861.27629103576,72131.31044624808,72384.19469663894,72648.5134819557,72918.16623312827,73237.96699155493,73576.63302569914,73931.89298742765,74238.10664226991,74424.47312171187,74674.41376414329,74949.23090620601,75248.96143850288,75533.65910186109,75789.72164958405,76064.0087310788,76343.19637424768,76685.31744802938,77024.41688635525,77391.88439920025,77700.1330787304,77886.42466239992,78125.95479246227,78387.62772646185,78672.90337467792,78949.99911713353,79204.41395786282,79473.53323105923,79747.77775324712,80078.32743018694,80417.20218119549
Connecticut,2bedroom,187951.18749218265,188079.8667610386,188145.94958158684,188271.2185206465,188319.58340715402,188574.46798401096,188753.6600220095,188983.51256868287,189138.15966425248,189724.22429703083,190238.9423741744,190844.01970454399,191223.04498166565,191351.24506235652,191416.20239473545,191540.8310739778,191588.10268664642,191842.90270088596,192021.50280056286,192251.31709271888,192405.2172185017,192992.44559396675,193507.4455465016,194113.41682454053,194492.53912214946,194620.76070443375,194685.76853845446,194810.42594671674,194857.74661554187,195112.5504241803,195291.17708464919,195520.99309331895,195674.92673629159,196262.10289360108,196777.09019813975,197383.02136396227,197762.13930817676,197890.35992566575,197955.3654936335,198080.0216127994,198127.34008043178,198382.14371881215,198560.76918747497,198790.58511912325,198944.51725815018,199531.69575853413,200046.68363059947,200652.61659629236,201031.7347358475,201159.9553966277,201224.96106627522,201349.617243284,201396.93580968582,201651.73945570586,201830.36497784607,202060.18091295037,202214.11311946064,202801.29151470878,203316.27936130873
Iowa,2bedroom,106453.43897238982,106777.86059228696,107100.47391690702,107421.97750933163,107729.02878300476,108036.61140877052,108335.85863282945,108610.13557601393,108867.12022658676,109141.1992599279,109412.37169630859,109663.63231033711,109977.70365961752,110255.51803185402,110583.1181401744,110903.08733761428,111214.93359561465,111487.22513673201,111760.9630441701,112023.73202496924,112260.57774136773,112500.90008504521,112698.42156215971,112891.75876551539,113200.73572635156,113498.96169856747,113824.3778496884,114145.01903395887,114454.76533311362,114742.51257133472,115027.4222598315,115295.23114186012,115540.89668541019,115796.0027393608,116025.77958434397,116244.48429055467,116555.69233398598,116844.97906531917,117171.35167842754,117491.6985667019,117802.36454084459,118083.3429711545,118363.35998871547,118628.96165077305,118870.76455937383,119119.39610140938,119335.04673857789,119542.64177093435,119852.87271385579,120146.07437726877,120472.02810875545,120792.50388368263,121102.76708703522,121386.70991036027,121668.86966852458,121935.4379804784,122178.93252639758,122430.39957479548,122652.23677129995
Mississippi,2bedroom,82113.35593660302,82411.38024707578,82727.62342907264,83045.13714234822,83362.27700483587,83657.59615706009,83944.56880777824,84203.97000784801,84451.37424672689,84690.21919019375,84908.90907712751,85113.20080280058,85417.52889760098,85712.87030980026,86039.06257289456,86373.45618780736,86711.94744905467,87008.83162527175,87298.82253654755,87550.73397893723,87790.31309785182,88009.48345397995,88188.82416623621,88360.9211126277,88655.22812813998,88951.46655736897,89274.33238231142,89603.08226507893,89934.43476579811,90230.79568208121,90519.77744919859,90774.19306412955,91016.38848271414,91242.13696372684,91434.63392575222,91617.49507650026,91915.15260249087,92211.09111742213,92535.06912455203,92865.70596810948,93199.44528678151,93495.98115307161,93785.30032377393,94038.87867795704,94280.19934650656,94503.74845600247,94691.84667499433,94871.10885416949,95167.64614948009,95463.68493963803,95787.29109280232,96117.2970380586,96450.23833305165,96746.71570545952,97035.92206653183,97289.78035572275,97531.3934936834,97755.67795484165,97945.24687715813
