State,Room Size,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
WY,4bedroom,295983.81191638915,296527.5717910849,296976.7438384058,297616.7788200589,298287.7641098292,298969.69250288676,299584.290506253,300005.463476785,300610.3902295393,301153.5298406883,301692.6074105018,301936.59568138135,302020.5086359701,302179.896438147,302273.83343459986,302585.56167888554,302953.1272653733,303354.6364472335,303710.0721972789,303891.72850538744,304275.29496804107,304613.8543318802,304963.859699221,305033.10823731613,304955.52746721014,304965.6634495507,304921.6625430506,305105.90915869066,305355.6567611854,305648.27905871836,305903.0820091125,305991.733907845,306289.34608726925,306548.4668647549,306825.05542533804,306826.45246000256,306686.1636163489,306638.34506136534,306540.78281568794,306675.5282673651,306879.5271027208,307129.86858244694,307345.59577919333,307398.1340310678,307662.37013024697,307890.6448750153,308138.7256621447,308113.7759327137,307949.13752070686,307878.81519725925,307760.455063597,307875.97919483995,308062.213766848,308296.137589246,308496.69165627286,308535.2069655994,308786.48312036775,309002.78033912415,309239.7915471861
CA,5bedroomOrMore,912592.7710664041,914147.3355628578,915886.508795633,918637.8724264803,921963.3557985473,926115.0139965388,929617.8532680277,933183.8771269674,938098.0889287925,943668.49201426,950347.0897174946,957205.8853664481,959672.6533493408,962199.419345511,964909.001970811,968628.9861904716,972921.3046450306,978038.0157105057,982504.1289197142,987031.6510657995,992905.5887773406,999433.9486622057,1007068.7373156081,1014881.9613205772,1018301.3983144101,1021779.0772195334,1025437.8198889089,1030105.2145189102,1035343.1969752618,1041403.8288532224,1046812.122898917,1052280.0891128725,1059092.7373251398,1066558.0773391572,1075128.1189398179,1083874.871893951,1088226.1170167848,1092633.8864028188,1097221.005071241,1102815.0643788138,1108978.003345826,1115961.8867162846,1122291.7303792592,1128679.5474724276,1136410.3509572085,1144792.1537626365,1154276.9687934385,1163936.8089305274,1169199.4580974744,1174516.951491392,1180012.1172283622,1186512.5497563332,1193580.1911810804,1201467.1093264108,1208698.3231555163,1215985.8488745308,1224614.7025076721,1233892.9000411287,1244272.457431146
TX,5bedroomOrMore,431082.39700299554,431055.7956777317,431522.515557035,432126.2191242803,432570.92244430893,433147.6259066744,433472.3295208135,433915.033286945,434136.7372050647,434544.4412751625,435032.1454972284,436101.84987125226,435814.95140021964,435786.0547528656,436250.4794620065,436851.8880110072,437294.296464699,437868.70521262527,438191.1142642128,438631.5236196704,438850.93327898363,439256.3432421324,439741.75350909674,440809.1640798564,440519.97195738694,440488.78181041323,440950.91317174176,441550.02852472727,441990.1439341909,442562.25978966616,442882.3761005696,443320.4928671002,443537.6100892334,443940.72776693903,444423.84590018704,445488.9644889472,445197.4805361849,445163.99871061515,445623.83854503435,446220.66252278717,446658.4867086847,447228.3114922504,447546.13688289083,447981.96288079495,448196.789485928,448597.61669824994,449078.44451772067,450141.2729442999,449847.49898094306,449811.72729635495,450269.277423322,450863.8118451789,451299.34662672674,451866.8821574789,452182.4184468319,452615.95549496467,452828.49330183247,453227.0318673852,453705.5711915727
NY,5bedroomOrMore,533723.1673149324,534604.8969849561,535145.583827567,535565.263613808,536146.9372656703,536659.6048115327,537149.2662568558,537752.921606509,538840.5708653425,540110.2140382024,541602.8511299309,542744.4821453661,543838.2744042751,544727.6229516472,545275.9226098054,545703.2091546152,546292.4835128871,546812.7457178152,547309.9957796716,547921.2337081332,549016.4595128541,550293.6732034801,551793.8747896497,552943.0642809935,554044.4090020669,554941.304002644,555497.1441098287,555931.9651042636,556528.7679175326,557056.552587599,557561.319129501,558180.0675576772,559282.7978865397,560567.5101304888,562075.2043039136,563231.8804211915,564340.7058116207,565245.0755297146,565808.3844073126,566250.668229789,566854.9279334557,567390.1635610001,567902.3751321808,568528.5626661528,569638.7261820416,570930.8656989562,572445.9812359913,573610.0728122259,574726.3077616562,575638.0811434897,576208.7877942564,576658.463504017,577270.1092137665,577812.7249708718,578332.3107997666,578965.8667242782,580083.3927681997,581382.8889553049,582905.355309349
FL,5bedroomOrMore,501453.8198518204,501814.73925013194,502360.3242987047,502981.5453599064,503571.35942525486,504156.72643834265,504869.60904837,505645.97242752876,506346.78410057747,507508.0137859291,509250.6332474729,510992.6161564054,511141.75781421526,511498.3150235798,512039.83254259604,512657.2608298271,513243.5383174587,513825.60764340655,514535.4153201669,515308.91147323814,516007.04959706694,517165.78632748127,518906.08122949454,520645.89659944345,520793.01713231177,521147.6897407255,521687.44996078865,522303.23965200334,522887.9892283479,523468.633851149,524177.1130613461,524949.3704837991,525646.3535514249,526804.0132479687,528543.3038681514,530282.1827940171,530428.4301382105,530782.2885405486,531321.2895529483,531936.3713198507,532520.4607911198,533100.4898979638,533808.3951693934,534580.117421791,535276.6014693044,536433.7958538041,538172.6525930807,539911.1269460517,540056.997045649,540410.5036857037,540949.1766968403,541563.9526184782,542147.7569038766,542727.5200887322,543435.1774008092,544206.6684431406,544902.9368984847,546059.9302537462,547798.5995430113
IL,5bedroomOrMore,404495.89662375953,404537.7159230791,404621.22732909623,404852.73130086926,404889.2355086261,404735.7401480539,404547.24522402417,404391.75073653687,404369.25668546784,404517.76307068975,404689.2698920751,405114.7771494966,405271.1814665864,405311.5088950178,405393.52886580094,405623.54183786706,405658.5554813168,405503.56999171025,405313.5853737917,405156.60162743414,405132.61875238636,405279.63674839394,405449.65561520256,405873.67535255797,406028.5925839654,406067.4333609713,406147.96711445897,406376.49430323293,406410.0225972671,406253.5521919948,406062.0830920337,405903.61529713013,405878.14880690636,406023.68362098135,406192.2197389743,406614.75716050446,406768.1925089507,406805.55183573294,406884.60457160824,407111.65117525466,407143.6993165199,406985.74919071095,406792.80080231937,406632.85415096534,406605.9092361448,406749.96605735074,406917.02461407625,407338.0849058145,407490.0435558184,407525.9266153819,407603.50351513614,407829.07471363334,407859.6478805953,407700.22321120324,407505.80070982286,407344.38037594856,407315.9622089507,407458.5462081966,407624.13237305364
PA,5bedroomOrMore,354286.8976738306,355062.85908127023,356285.356368015,357674.8294371776,358867.3011300794,359807.77263275225,360667.2440068107,361528.7152554854,362410.1863789756,363278.65737732325,364067.128250562,364799.5989987251,365477.96729567647,366254.3992012276,367477.3668611079,368867.31017846323,370060.2519946482,371001.1934957278,371861.1347433497,372723.0757407777,373605.01648824435,374473.9569858247,375262.8972335854,375995.837231593,376674.67465374427,377451.5755598841,378675.0120957749,380065.4241645956,381258.8346077339,382200.24461128784,383060.6542369382,383923.0634879819,384805.4723646844,385674.8808671538,386464.28899548994,387197.6967497922,387877.0018039905,388654.37021796266,389878.27413750405,391269.15346582665,392463.03104435105,393404.9080592085,394265.78457211243,395128.66058639286,396011.5361023482,396881.41112011945,397671.2856398393,398405.15966164024,399084.93085948494,399862.76529328414,401087.1351088662,402478.48020947597,403672.8234365668,404615.16597630276,405476.5078904303,406339.84918231214,407223.1898522796,408093.5299005066,408883.86932715855
OH,5bedroomOrMore,297567.58434789616,298161.52709833195,298992.6752431747,300030.67741953826,301025.27781845734,302055.29731036205,302965.6104031114,303677.129181617,304410.7920558602,305256.5558781807,306196.39042094356,307165.2745077997,307648.7776512884,308242.66351295746,309073.7718036608,310111.7460597069,311106.3268986972,312136.3326876483,313046.6361806216,313758.1482338836,314491.806396673,315337.56691832544,316277.3991487638,317246.281615692,317729.7836243198,318323.66869094793,319154.7764246753,320192.7502905249,321187.33085615817,322217.33645360556,323127.6398124185,323839.1517716928,324572.80986863794,325418.57034416235,326358.4025422852,327327.28498657444,327810.7869793422,328404.6720348593,329235.77976080275,330273.7536211992,331268.3341830122,332298.33977778326,333208.64313472126,333920.15509268205,334653.813188707,335499.5736635867,336439.40586125787,337408.2883052307,337891.7902977768,338485.6753531386,339316.78307897324,340354.7569392935,341349.3375010531,342379.34309578675,343289.64645269857,344001.158410641,344734.8165066531,345580.5769815238,346520.4091791887
MI,5bedroomOrMore,339102.17289112526,339810.67956184945,340654.0179533558,341203.30406876164,341746.5849176549,342331.8624875442,343442.1368697553,344705.40807573486,345787.6761135463,346882.9409910918,347959.20271624764,349453.46129687055,350277.88963192265,350987.64861769497,351832.2362031688,352382.7683992399,352927.2922232553,353513.8096704635,354625.3208399107,355889.8257507449,356973.3244187115,358069.8168593755,359147.3030882572,360642.783120838,361468.42986368574,362179.4042206783,363025.20414836495,363576.9456651904,364122.675796032,364710.39654364955,365823.1080145821,367088.8102354516,368173.50322945905,369271.1870196063,370349.86162883183,371846.52708001697,372673.35628711095,373385.5101613547,374232.4866666419,374785.4018287438,375332.3026798458,375921.19122999755,377035.0675930099,378301.9318027583,379387.7838896792,380486.6238839919,381566.45181583444,383064.26771526964,383892.2445034104,384605.5430986434,385453.6614719904,386007.71565633273,386555.75269094825,387145.7745929616,388260.7814832406,389528.7734027005,390615.75038879964,391715.712478762,392796.6597097127
GA,5bedroomOrMore,403279.398154717,404255.5258423472,404969.3246515092,405754.5174532923,406733.3302257778,407454.5119597506,408028.3355555404,408450.506786212,409134.3405773481,410042.5019116824,410965.3453089187,411755.4973188781,412794.74792174343,413771.01883386355,414484.67861898546,415270.0063675484,416248.68815093755,416969.9970323933,417543.6972096479,417965.9882392686,418649.7057448874,419557.9799543482,420480.7137868298,421270.9721482577,422310.1195187022,423286.49063567014,424000.0531547255,424785.4753167616,425764.06545561086,426485.4632938796,427059.07712322305,427481.4519683662,428165.08811658196,429073.4412974175,429996.09847457596,430786.43124320003,431825.50638864294,432801.94761241676,433515.44208074006,434300.93029773433,435279.4563188677,436000.9163944249,436574.46981175855,436996.9032971641,437680.4825249036,438588.8909568668,439511.494503288,440301.8793297812,441340.9039440944,442317.3942170344,443030.84107469243,443816.37550603895,444794.85666818236,445516.360287117,446089.87143810187,446512.34595027997,447195.88535446924,448104.33244204806,449026.8984665353
NC,5bedroomOrMore,452805.44493493007,453704.62497088435,454770.69135089184,455675.6310774777,456679.6901987444,457710.63232660125,459096.6889517481,460411.6335734145,461560.68770515575,462276.6348197866,463406.6864590039,464832.6360657183,465635.1301482225,466527.26228209416,467600.3753189128,468498.26963373885,469509.372921934,470533.2721274738,471926.3704305462,473234.27461845876,474390.367940002,475099.2771085629,476236.3654503379,477655.2795977872,478464.8078964836,479349.90705701633,480430.0518245403,481320.9156510752,482339.04818536696,483355.9193867853,484756.04445222346,486056.92311930656,487220.0407203624,487921.92685050826,489066.03698981996,490477.93058039166,491294.4781955258,492172.5592798415,493259.720883581,494143.5691136828,495168.71600484423,496178.57408873725,497585.7110325753,498879.579060165,500049.7060620267,500744.5840298354,501895.7010932343,503300.58899774984,504124.14106112777,504995.2189347934,506089.38251180795,506966.23000579106,507998.37639613345,509001.2362175648,510415.3701873638,511702.24242527474,512879.36398075137,513567.2486307906,514725.35777633195
NJ,5bedroomOrMore,687579.0672748848,687350.6744528287,687433.9080721888,688186.1357659145,688323.3639434056,688505.5927163137,688297.8220864926,688205.0520538817,688436.2826183868,688970.5137799133,689857.7455383668,691120.9778936529,690563.2781205615,690331.1188471727,690410.5866117489,691159.0490471451,691292.5125626667,691470.9772698707,691259.4431705165,691162.9102644491,691390.3785514798,691920.8480314199,692804.3187040805,694063.7905692726,693502.330901692,693266.4123293243,693342.1213903377,694086.8257174928,694216.5317200009,694391.2395093245,694175.9490871289,694075.6604531647,694299.3736071492,694826.0885487993,695705.8052778319,696961.5237939637,696396.3113717966,696156.6406392219,696228.5981343136,696969.5514897383,697095.507114613,697266.4651203064,697047.4255083896,696943.3882785192,697163.3534303181,697686.3209634093,698562.2908774159,699814.2631719607,699245.3051215514,699001.8893539851,699070.1024072422,699807.3119138952,699929.5242829671,700096.7396257328,699873.9579436694,699766.1792363395,699982.4035032726,700501.6307439975,701373.8609580435
VA,5bedroomOrMore,580371.915366075,581505.7168869589,582627.4572440438,583898.288886546,585471.1241724401,587272.9589448266,589032.7930071059,590625.6263505435,591964.4589753156,592888.2908820211,593700.1220712783,594283.9525437059,595746.6976659971,596881.3282275035,598003.8969102342,599275.5561640223,600849.2183474582,602651.8793042582,604412.5388384378,606006.1969418766,607345.853615365,608270.5088601154,609083.1626773588,609667.8150683264,611131.381400323,612266.8324633117,613390.2209399125,614662.6992805685,616237.17984448,618040.6584759725,619802.1349796699,621396.6093480603,622737.0815825417,623662.5516849334,624476.0196570732,625061.4855007981,626525.8645840188,627662.1276973032,628786.3275238756,630059.6165147835,631634.9070298303,633439.1949139445,635201.4799723525,636796.7621981442,638138.0415933189,639064.318160297,639878.5919015163,640464.8628194139,641930.0462824997,643067.1130819403,644192.1159015585,645466.2071929992,647042.2993166634,648847.388118076,650610.47340306,652206.5551653006,653548.6334073925,654475.7081323506,655290.7793432069
WA,5bedroomOrMore,640779.8939939884,641898.6644209005,643884.4141327359,646471.2042413842,649421.4810566403,651932.1736689886,654568.9327017877,658093.162768884,662968.0455159504,668194.5603025048,673738.5029585031,679604.5028015195,679983.9320700438,681231.1143821899,683333.3694127413,686025.8622705109,689072.0408977611,691669.7431443925,694385.4441314744,697981.2965217459,702921.160649418,708206.6316334013,713804.0639687951,719718.593837943,720142.0533467478,721429.183341055,723567.6820373203,726293.0579870074,729369.0707304474,731993.8408237111,734734.0998810456,738352.2332758879,743312.3124758183,748616.1241564748,754230.1966082216,760159.8236940766,760596.9805801996,761896.5379079045,764046.3116542607,766781.917212383,769867.2110577158,772500.4016934556,775248.3005263697,778873.3653239182,783839.7332352087,789149.2505273044,794768.4995565772,800702.8232389617,801144.241245265,802447.6645949022,804600.9458991187,807339.7337884222,810427.9148938232,813063.7250780094,815814.0005704211,819441.2216595911,824409.5459275082,829720.8381795454,835341.6975914811
MA,5bedroomOrMore,786668.9830937068,786266.372402333,786820.9550135747,787086.4249379283,788251.8915273615,790120.358018966,792238.8245085683,794072.2909990049,796018.7574903597,798712.2239826352,801778.6904758315,805649.1569699487,805291.6065586935,804887.4623632785,805440.5114714,805704.4478935542,806868.3809817088,808735.3139729556,810852.2469631208,812684.1799550412,814629.1129488007,817321.0459444016,820385.9789418443,824254.9119411287,823895.8280359614,823490.1503475552,824041.6659636063,824304.068894611,825466.4684925367,827331.8679944755,829447.2674962537,831277.6670007078,833221.0665079218,835911.466017898,838974.8655306369,842842.2650461381,842481.6476581085,842074.4364877609,842624.4186227914,842885.2880736963,844046.154192443,845910.0202161237,848023.8862405645,849852.752268602,851794.6183003202,854483.4843357216,857545.3503748063,861411.2164175742,861049.0655577321,860640.3209164928,861188.7695815525,861448.1055634073,862607.4382140249,864469.770770497,866582.1033286502,868409.4358913209,870349.768458593,873037.1010304692,876097.4336069493
IN,5bedroomOrMore,315272.7664353938,316337.82771464094,317285.9955772269,318222.84828484256,319165.98481132486,320304.8585366342,321591.9753390134,322605.86729873775,323491.96723422426,324211.8747955355,325283.9602998092,326322.881209756,327039.720802154,328104.71441237,329052.94486770185,329989.7396780524,330932.92975855706,332071.7539472726,333358.91657018993,334372.76614666666,335258.90528596326,335978.77658439206,337050.8956312383,338089.7855148547,338806.65380610037,339871.62087035214,340819.87588026625,341756.64797803026,342699.85906730563,343838.66382325225,345125.8444211627,346139.6773710651,347025.8318896707,347745.6889624905,348817.82116779214,349856.6988800527,350573.57842960325,351638.5350801074,352586.7997225676,353523.5629103842,354466.782241215,355605.5793738577,356892.7670231994,357906.5934506433,358792.7540024162,359512.60549465497,360584.7428619027,361623.61579944764,362340.4997655319,363405.4523308147,364353.72075203777,365290.4804445605,366233.70300848095,367372.49715056876,368659.68756612483,369673.5114348658,370559.67435339716,371279.5236564232,372351.66304865683
AZ,5bedroomOrMore,453186.36086720467,454231.5228388986,455772.9903852444,457345.06469988,459419.1395718433,461171.29723776627,463338.52524965885,465601.73501278943,468305.76826478925,470844.4024366416,473263.35556763405,476242.290842698,477491.18165019964,478619.0339552555,480236.8747372902,481879.4877823002,484018.71260421595,485831.04311357223,488053.84708660515,490368.38710571895,493119.8292576323,495702.2505438866,498161.6456887444,501177.93342486507,502461.3231658679,503621.03887105983,505268.3088604699,506938.10287935723,509102.43219462526,510937.94934877654,513182.168631384,515516.48794535594,518286.198360155,520885.4923120555,523360.4711414591,526391.1520522634,527687.8354066515,528859.8291645125,530518.4392292635,532198.7070025974,534372.7099336847,536217.1616913244,538469.6330216655,540811.5739712126,543588.3237695339,546194.1193338357,548675.103087347,551711.3301782854,553013.1360144116,554189.8609238979,555852.840705682,557537.1443731198,559714.8748776618,561562.7694421501,563818.420567374,566163.2983925407,568942.7607049462,571551.0615618143,574034.3592169856
