State,Room size,weight,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
HI,1bedroom,62,527063.0721,527749.9333,528127.5742,528357.9762,528777.0216,529439.3986,530047.081,530364.0422,530508.3652,530816.1652,531368.4105,531913.0069
HI,2bedroom,66,545622.8555,546015.8488,546390.1564,546750.4153,547087.0435,547406.9765,547706.5958,547990.3075,548261.1348,548518.1065,548763.3033,548994.4457
HI,3bedroom,65,612265.2017,612608.5519,612933.0413,613243.0823,613534.5573,613812.7487,614080.6217,614333.7972,614574.4432,614803.1233,615021.867,615230.2925
HI,4bedroom,66,744421.938,744799.0008,745324.9945,745854.6584,746180.2455,746493.5256,746729.0655,746979.9384,747424.3701,747818.491,748158.0216,748445.8366
HI,5bedroomOrMore,58,905326.6902,905791.6238,906229.4523,906650.6905,907053.5744,907435.6423,907799.6483,908145.995,908477.9976,908793.9887,909094.2669,909380.716
HI,AllHomes,67,603797.4377,604152.9757,604488.7783,604805.8205,605105.0217,605388.6319,605656.8881,605910.0921,606149.0235,606375.4128,606589.6649,606791.902
IA,1bedroom,553,78369.25465,78372.83481,78403.02908,78415.35553,78394.84212,78388.96565,78374.25606,78359.36913,78381.2811,78394.23142,78395.06253,78406.75457
IA,2bedroom,885,91398.86541,91478.38319,91516.52203,91550.89223,91626.49565,91696.07729,91738.51354,91747.32035,91754.54576,91802.74383,91850.12971,91873.20417
IA,3bedroom,934,122711.9342,122860.1373,122997.741,123135.1722,123266.309,123393.8454,123517.8832,123634.2453,123750.6093,123861.2666,123968.5441,124072.7373
IA,4bedroom,876,151566.7488,151647.3325,151753.493,151833.6137,151918.2605,152012.2419,152076.215,152167.5432,152234.3961,152302.6553,152383.2709,152433.3229
IA,5bedroomOrMore,736,197181.2434,197244.0955,197302.5328,197397.3386,197500.1801,197573.484,197626.1005,197702.7417,197804.4961,197885.7836,197938.7058,198001.3563
IA,AllHomes,972,122168.7717,122297.4713,122387.7822,122429.1647,122510.1346,122606.1462,122646.8874,122674.4837,122752.3243,122812.1461,122821.2143,122853.0313
ID,1bedroom,164,189174.9853,189542.0994,189869.8736,190258.4102,190583.6467,190863.3654,191166.545,191458.9491,191736.1427,191959.8768,192204.0447,192462.4293
ID,2bedroom,230,202190.5061,202504.2243,202796.2921,203111.6889,203327.6941,203551.1256,203742.5214,203854.3113,203989.0065,204048.0664,204083.2261,204116.2085
ID,3bedroom,243,256271.2041,256906.9165,257199.4829,257384.5258,257842.1887,258235.43,258296.9819,258417.5368,258725.6059,258824.4489,258709.9663,258760.6742
ID,4bedroom,220,320666.5523,320850.0087,321153.0098,322195.8934,323126.4357,323218.0783,323614.7502,324720.094,325501.183,325588.7826,326042.9511,327205.8986
ID,5bedroomOrMore,194,403156.4638,403946.8175,404691.9637,405351.3631,405991.4367,406645.8225,407300.4444,407915.7652,408464.2897,408991.2969,409522.556,410062.4269
ID,AllHomes,257,254479.0482,255221.4446,255704.0398,256055.0993,256442.8982,257091.4607,257782.2919,258341.8734,258699.4546,259102.5019,259682.9837,260372.5416
IL,1bedroom,486,93788.84114,93864.36,93915.07626,93983.816,94034.20331,94097.27433,94140.97902,94198.62596,94241.87096,94295.47869,94333.41187,94381.92008
IL,2bedroom,1038,105326.598,105375.6236,105421.9666,105466.1256,105509.8147,105551.1778,105591.7063,105630.5617,105668.158,105704.5003,105739.508,105773.3888
IL,3bedroom,1190,141387.8042,141463.991,141538.5423,141608.3135,141676.6581,141741.404,141805.8093,141866.7458,141926.5053,141981.7473,142035.3925,142084.9955
IL,4bedroom,1047,190783.5427,190796.6859,190809.0854,190821.3409,190832.6107,190845.8192,190857.8161,190869.6588,190882.587,190894.1703,190906.7026,190919.1059
IL,5bedroomOrMore,770,264044.6129,264036.1828,264083.9443,264125.7444,264125.1885,264200.7068,264180.4543,264253.503,264252.094,264287.7224,264331.5529,264315.9774
IL,AllHomes,1252,143702.3426,143754.7744,143805.1552,143855.4811,143904.3145,143951.7071,143998.3642,144042.9391,144086.7656,144128.8741,144169.6523,144209.3499
IN,1bedroom,541,89709.31647,89936.95087,90106.69687,90182.46888,90300.94895,90506.03661,90667.17285,90745.21516,90851.11916,91032.83655,91187.19675,91264.8946
IN,2bedroom,662,104314.2321,104502.9044,104687.4768,104864.6203,105043.5607,105222.2066,105393.9077,105559.9052,105726.0311,105891.7482,106052.1101,106207.3599
IN,3bedroom,684,143051.0691,143372.862,143704.5739,144018.0633,144320.1295,144622.6479,144922.186,145217.3001,145498.1872,145773.7733,146052.1129,146324.4271
IN,4bedroom,647,182784.3235,183094.7743,183393.9179,183700.8003,183995.6664,184287.6573,184576.4033,184853.169,185135.1067,185408.4626,185675.5835,185943.1135
IN,5bedroomOrMore,553,227883.4415,228069.5604,228205.0756,228343.8656,228471.8266,228634.1943,228798.1256,228922.1431,229051.0861,229171.2859,229329.7789,229472.2175
IN,AllHomes,693,139169.8779,139477.8608,139793.0394,140077.4015,140323.9756,140558.3175,140812.5881,141094.3183,141374.8093,141623.8211,141839.1135,142048.3664
KS,1bedroom,303,73560.22714,73518.21577,73423.6858,73301.24916,73228.47946,73215.84488,73281.7509,73373.85765,73464.82137,73498.07338,73478.23281,73403.66378
KS,2bedroom,435,86809.07552,86855.64697,86868.10152,86783.11137,86663.10237,86695.65065,86723.05072,86697.63104,86599.71112,86529.46494,86578.17904,86575.22158
KS,3bedroom,457,122968.264,122700.0793,122725.0089,122970.5252,122791.8026,122612.1264,122871.1918,122862.267,122626.4158,122692.4805,122898.7557,122678.1571
KS,4bedroom,422,156747.2853,157037.7399,157190.4852,157092.6472,157128.7358,157392.3903,157520.7173,157427.3217,157459.1057,157695.8812,157804.8332,157715.189
KS,5bedroomOrMore,350,202393.2731,202776.6379,202849.7337,202646.7415,202691.6635,202991.4372,203215.7568,203200.386,203026.0031,203085.3931,203412.2701,203536.6484
KS,AllHomes,474,117302.3348,117293.0467,117337.1835,117410.7822,117473.5777,117494.6915,117494.8867,117552.9118,117621.2939,117673.8485,117683.8101,117698.347
KY,1bedroom,337,71097.48144,71204.64888,71288.29204,71374.54864,71465.1327,71535.05031,71608.77832,71687.00536,71745.45822,71807.23313,71874.77616,71924.52132
KY,2bedroom,583,77712.40173,77884.72647,78047.38258,78198.64488,78346.61461,78492.50325,78628.78629,78760.22055,78888.10466,79010.34222,79127.46646,79240.49852
KY,3bedroom,636,107783.2513,108044.2796,108274.0682,108472.0842,108687.6434,108921.7529,109126.6542,109298.6882,109483.5927,109689.5773,109873.896,110024.666
KY,4bedroom,559,148611.0719,148866.8983,149094.5868,149320.9244,149553.6068,149776.8136,149974.0678,150165.8483,150366.1726,150560.6616,150731.9422,150894.6337
KY,5bedroomOrMore,389,206037.856,206299.6619,206485.1197,206735.5243,206912.2339,207147.4765,207320.0244,207536.9423,207708.9924,207905.5379,208079.3894,208254.9859
KY,AllHomes,651,102175.0078,102389.7786,102574.2311,102788.9037,103003.9238,103180.5722,103333.0774,103514.1815,103695.8996,103839.048,103966.0218,104119.0372
LA,1bedroom,99,92244.94432,92283.17428,92321.07123,92349.56118,92373.68684,92410.70736,92446.93599,92473.33065,92499.30106,92534.74737,92569.21547,92594.42545
LA,2bedroom,261,98730.01306,98822.58735,98907.67159,98994.34107,99068.52297,99147.16305,99233.59969,99312.97869,99393.8177,99469.26726,99540.39125,99618.72248
LA,3bedroom,356,143001.3082,143146.8515,143282.9246,143434.4617,143584.1151,143716.0511,143856.7963,144001.6379,144139.5306,144269.8665,144406.6173,144546.6175
LA,4bedroom,300,198279.1323,198412.029,198555.5616,198703.8174,198844.4805,198973.5265,199111.2738,199257.0347,199393.6009,199521.8933,199653.7752,199795.2472
LA,5bedroomOrMore,185,278732.2458,278854.3196,278969.6446,279078.9629,279191.5818,279307.714,279420.2301,279526.4633,279634.6871,279746.0128,279854.8587,279958.4704
LA,AllHomes,389,133075.853,133184.8768,133332.8099,133420.9328,133478.4395,133592.0057,133731.1043,133817.5875,133873.2046,133986.1732,134123.9565,134201.8109
MA,1bedroom,350,257967.3197,258412.6774,258866.6377,259316.7606,259756.6659,260178.2975,260575.005,260941.1633,261273.9151,261572.4342,261839.0252,262077.7856
MA,2bedroom,365,335948.3561,336608.7126,337230.3473,337832.907,338403.9278,338946.7752,339468.8816,339968.6556,340446.1879,340905.6865,341346.7874,341770.5531
MA,3bedroom,365,419729.8119,420439.0419,421112.0752,421762.0652,422385.2604,422981.0653,423560.0057,424113.8218,424651.1087,425169.216,425670.7224,426155.696
MA,4bedroom,365,524739.0981,525489.0166,526040.7224,526758.8346,527283.7474,527977.2383,528477.1648,529144.0026,529616.0168,530255.1839,530701.5627,531318.1569
MA,5bedroomOrMore,361,656625.805,657379.9403,658114.179,658830.6006,659532.87,660222.0375,660896.1351,661559.4262,662210.5064,662848.9006,663477.5905,664094.591
MA,AllHomes,366,439181.3719,439921.0765,440643.6994,441356.7701,442057.0731,442745.6703,443424.7132,444092.2279,444750.1589,445399.6776,446037.4397,446670.3931
MD,1bedroom,200,233062.669,233208.8947,233342.3392,233463.9965,233578.2054,233682.1755,233774.4586,233858.2626,233934.1659,233999.6696,234056.4396,234106.2613
MD,2bedroom,360,221806.6584,221981.4892,222141.8785,222290.8262,222423.0343,222541.1282,222647.3849,222738.3966,222819.3163,222886.2267,222943.713,222988.7374
MD,3bedroom,410,295375.1011,295622.1712,295848.9336,296057.2155,296242.7496,296411.662,296563.26,296695.5662,296814.134,296916.8571,297003.7529,297079.2365
MD,4bedroom,392,385358.4949,385625.4875,385973.0521,386205.1843,386501.757,386673.8145,386915.0873,387049.4035,387267.6842,387383.2619,387573.9282,387652.1568
MD,5bedroomOrMore,360,498775.627,499142.3256,499503.0904,499711.8497,499832.2918,500070.7916,500389.1599,500612.0956,500685.5043,500808.2727,501056.5408,501297.0753
MD,AllHomes,425,322524.2166,322709.2039,322876.1008,323030.39,323167.9944,323289.962,323400.9704,323495.9127,323578.5257,323650.8768,323708.9945,323757.3676
ME,1bedroom,241,160437.8095,160739.337,161030.8816,161336.4217,161627.7752,161901.8789,162151.6278,162413.2421,162669.5384,162912.3189,163131.9462,163354.1582
ME,2bedroom,391,169877.8978,170264.4301,170643.1459,171025.0225,171414.0139,171809.6394,172202.5557,172584.4953,172947.6062,173292.8632,173623.8686,173949.0133
