,0,1,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00
0,AL,AllHomes,152179.36885391705,152692.9126288046,153138.43722185146,153628.4169317213,154104.00218432228,154549.1954255602,154952.99359023952,155309.3031273128,155623.14265597126,155906.27740040273,156172.56692579834,156433.49954876336
0,AR,1bedroom,94050.67256797061,94071.19086625526,94048.95304993678,94005.01602082273,93939.14283043942,93856.1553677501,93789.65816009721,93754.67207329866,93751.5233957226,93778.71572891093,93821.99407722025,93862.26673155067
0,AR,2bedroom,102928.07883351055,103221.4204790483,103468.16536202798,103685.32674294362,103893.12446582312,104091.8512161789,104287.51299822229,104466.41574663433,104629.4987680241,104765.82943341257,104883.9154150474,104981.17022626766
0,AR,3bedroom,139443.99181812812,139740.71782080605,139992.9698007496,140222.92461329693,140443.02720379186,140667.04684473932,140898.37919190142,141134.42912709707,141367.9795457678,141592.03739194415,141802.41157346359,141998.94607051043
0,AR,4bedroom,210455.4346639785,210867.00295480088,211219.65780296462,211569.29286301564,211914.3651905432,212227.46189470615,212527.67364916654,212819.94221855263,213092.79226898635,213352.15005666963,213602.03872299183,213838.0984527299
0,AR,5bedroomOrMore,309616.5876415073,310009.03306879965,310324.09464454924,310580.79909507226,310808.7194443032,311057.0264981477,311348.448084182,311658.02825912635,311952.80684362346,312196.1523223368,312382.0679205125,312541.3354386275
0,AR,AllHomes,126627.65702381197,126927.5941360248,127201.85370980903,127458.13700582292,127688.68113969706,127901.10057728754,128092.06486813926,128269.48377761152,128431.23131739926,128583.10418692419,128722.11742007872,128852.04222733113
0,AZ,1bedroom,180519.0516452318,181577.078843172,182393.01904921018,183281.4624938724,184103.28081357293,184795.24751325411,185479.3208841202,186091.63273934645,186596.81853589413,187055.12541770417,187454.9464293279,187792.54119618938
0,AZ,2bedroom,251005.74638806665,252392.22928983488,253599.97287391158,254730.56160373506,255749.16248844462,256645.0705780944,257416.46650993204,258114.5356321792,258764.85721372478,259357.28964101162,259869.44231617678,260311.9058741413
0,AZ,3bedroom,289303.3935192542,290501.9977891521,291534.1878176361,292535.13028946426,293503.6679167807,294331.8605506794,294957.9522505118,295478.1501070008,296008.0315382566,296541.98014013364,296959.03574906423,297215.64752638893
0,AZ,4bedroom,379075.13995915966,380392.2687599455,381577.05895804445,382656.9993858063,383605.2851450148,384450.55699193396,385205.9926165214,385859.41242469393,386426.10156837263,386924.99629387975,387339.38341108226,387688.6017809763
0,AZ,5bedroomOrMore,554272.8513588252,555428.8823990282,556478.152670329,557426.3118789389,558280.7458145499,559039.8263284062,559711.695814754,560302.0043728334,560813.9738500869,561249.5011281191,561618.48700437,561922.6513010855
0,AZ,AllHomes,291974.5429684772,293294.59472439525,294403.3178199137,295465.33696526237,296516.34849534364,297449.51047967107,298158.39022560423,298720.02954243944,299276.74029175803,299864.8584991564,300355.3008810775,300663.67922452395
0,CA,1bedroom,513706.1148655847,515829.3822573868,517782.5576877321,519599.1176865497,521201.66409854445,522585.85746053216,523836.75729881146,525046.7337164953,526184.476152855,527176.0467728631,528024.8535882229,528830.2469934062
0,CA,2bedroom,615941.7848906764,618330.3138899097,620536.7312141294,622580.305029679,624353.3350607789,625906.9111478514,627353.1531621997,628744.1022859702,629998.6952242226,631075.7534058347,632049.3268141698,633008.7318300817
0,CA,3bedroom,745050.6857472353,747843.5657200677,750373.1514681032,752689.0835776516,754767.4386786788,756652.0614036216,758383.1258089697,759982.5542460887,761435.516056947,762750.8649213609,763964.4902224537,765100.6915553724
0,CA,4bedroom,939703.6714248327,942486.8374246971,945003.5777247512,947309.5918299435,949391.7882035013,951272.5479011596,953000.5570308309,954620.5023583258,956136.4090656257,957524.7810561144,958778.5705941995,959928.2580495488
0,CA,5bedroomOrMore,1262000.8005065504,1264997.9794907984,1267774.120967343,1270402.6353141274,1272860.7561702917,1275167.7477456627,1277370.9439892187,1279415.353652639,1281397.302115891,1283240.171563847,1285023.9251011878,1286712.3441017016
0,CA,AllHomes,780427.4996237459,783267.769669533,785811.6564248643,788123.0424789404,790213.8815123112,792111.979048333,793843.4079678316,795424.3547743864,796867.1693721724,798190.5999244428,799408.8183682695,800528.269266976
0,CO,1bedroom,329233.91716791666,330298.4504935324,331254.9901913245,332186.51743126963,333085.02424875234,333933.793037459,334755.775434306,335552.61128861137,336318.64677099296,337059.6189463708,337777.9288288606,338471.92786183866
0,CO,2bedroom,371840.8373327769,372994.7130287918,374066.0655728072,375094.05656030844,376085.90244057134,377013.1547241084,377919.93881187914,378801.840134907,379639.2468250152,380449.4451253274,381249.6486752965,382008.7923138524
0,CO,3bedroom,458422.15711313684,459789.7391062911,461072.6926694962,462272.3471314304,463458.9849692485,464580.1421952471,465648.14236878837,466680.8546512126,467705.7424670185,468663.57639811555,469599.2323100216,470516.08109984186
0,CO,4bedroom,568396.5753780899,569713.4929076295,570971.1169402399,572182.2934691152,573347.2057713544,574468.7598089038,575555.3165486939,576606.9014920627,577623.0133358095,578611.3632345208,579570.5529731597,580499.8818808349
